,touchpoint,orders,model,type
0,aff,30831,first,influenceable
1,co,13,first,influenceable
2,d,153503,first,non-influenceable
3,disp,2,first,influenceable
4,news_aut,15189,first,non-influenceable
5,news_man,29327,first,non-influenceable
6,news_sys,7730,first,non-influenceable
7,other,355,first,non-influenceable
8,pce,65,first,influenceable
9,SEA_Brand,98741,first,non-influenceable
10,sea_dp,0,first,influenceable
11,sea_dr,2,first,influenceable
12,sea_b,11957,first,influenceable
13,sea_s,20078,first,influenceable
14,sea_h,39362,first,non-influenceable
15,seo_m,9902,first,non-influenceable
16,seo_n,34977,first,non-influenceable
17,seo_p,0,first,non-influenceable
18,soc,148,first,influenceable
0,aff,40236,last,influenceable
1,co,13,last,influenceable
2,d,188871,last,non-influenceable
3,disp,1,last,influenceable
4,news_aut,13127,last,non-influenceable
5,news_man,24571,last,non-influenceable
6,news_sys,5535,last,non-influenceable
7,other,268,last,non-influenceable
8,pce,63,last,influenceable
9,SEA_Brand,93019,last,non-influenceable
10,sea_dp,0,last,influenceable
11,sea_dr,2,last,influenceable
12,sea_b,8233,last,influenceable
13,sea_s,12675,last,influenceable
14,sea_h,37921,last,non-influenceable
15,seo_m,626,last,non-influenceable
16,seo_n,27275,last,non-influenceable
17,seo_p,0,last,non-influenceable
18,soc,66,last,influenceable
0,aff,42007,last_nd,influenceable
1,co,13,last_nd,influenceable
2,d,153503,last_nd,non-influenceable
3,disp,1,last_nd,influenceable
4,news_aut,15373,last_nd,non-influenceable
5,news_man,28631,last_nd,non-influenceable
6,news_sys,7112,last_nd,non-influenceable
7,other,336,last_nd,non-influenceable
8,pce,72,last_nd,influenceable
9,SEA_Brand,101410,last_nd,non-influenceable
10,sea_dp,0,last_nd,influenceable
11,sea_dr,2,last_nd,influenceable
12,sea_b,9761,last_nd,influenceable
13,sea_s,16095,last_nd,influenceable
14,sea_h,41601,last_nd,non-influenceable
15,seo_m,3388,last_nd,non-influenceable
16,seo_n,32972,last_nd,non-influenceable
17,seo_p,0,last_nd,non-influenceable
18,soc,113,last_nd,influenceable
0,aff,35367.7256313984,linear,influenceable
1,co,13,linear,influenceable
2,d,176235.785825929,linear,non-influenceable
3,disp,1.33333333333333,linear,influenceable
4,news_aut,14032.040302909,linear,non-influenceable
5,news_man,26410.1150417122,linear,non-influenceable
6,news_sys,6180.3595084815,linear,non-influenceable
7,other,300.843553222586,linear,non-influenceable
8,pce,64.0636113886114,linear,influenceable
9,SEA_Brand,93411.9994515529,linear,non-influenceable
10,sea_dp,0,linear,influenceable
11,sea_dr,2,linear,influenceable
12,sea_b,9888.13149669805,linear,influenceable
13,sea_s,16171.4270499871,linear,influenceable
14,sea_h,37878.5072485518,linear,non-influenceable
15,seo_m,5098.70989482964,linear,non-influenceable
16,seo_n,31202.5910982153,linear,non-influenceable
17,seo_p,0,linear,non-influenceable
18,soc,101.676017762912,linear,influenceable
