,touchpoint,fst_orders,lst_orders,lstnd_orders,lnr_orders,type
0,aff,30831,40236,42007,35367.7256313984,influenceable
1,co,13,13,13,13,influenceable
2,d,153503,188871,153503,176235.785825929,non-influenceable
3,disp,2,1,1,1.33333333333333,influenceable
4,news_aut,15189,13127,15373,14032.040302909,non-influenceable
5,news_man,29327,24571,28631,26410.1150417122,non-influenceable
6,news_sys,7730,5535,7112,6180.3595084815,non-influenceable
7,other,355,268,336,300.843553222586,non-influenceable
8,pce,65,63,72,64.0636113886114,influenceable
9,SEA_Brand,98741,93019,101410,93411.9994515529,non-influenceable
10,sea_dp,0,0,0,0,influenceable
11,sea_dr,2,2,2,2,influenceable
12,sea_b,11957,8233,9761,9888.13149669805,non-influenceable
13,sea_s,20078,12675,16095,16171.4270499871,influenceable
14,sea_h,39362,37921,41601,37878.5072485518,non-influenceable
15,seo_m,9902,626,3388,5098.70989482964,non-influenceable
16,seo_n,34977,27275,32972,31202.5910982153,non-influenceable
17,seo_p,0,0,0,0,non-influenceable
18,soc,148,66,113,101.676017762912,influenceable
